sent_id,sentence,span,head_form,head_lemma,head_upos,case_marker,preposition,dative_type,relation,governor,governor_upos,split
train-s16,Für eine 300 Euro teuere Torte von einem angeblichen Meisterkonditor war das einfach nur furchtbar -- die gelieferte Torte hatte keinerlei Ähnlichkeit mit dem Bild der Torte die wir haben wollten (welches wir ihm ja überlassen hatten).,ihm,ihm,er,PRON,,,core_dative_argument,obl:arg,überlassen,VERB,train
train-s18,"War das erste Mal mit Ueberzeugung im Waschsalon, die ich vorher immer gemieden habe, da ein anderer Laden in Bremerhaven nie wirklich einladend wirkte.",Ueberzeugung,Ueberzeugung,Ueberzeugung,NOUN,mit,mit,dative_prep_mit,obl,War,VERB,train
train-s18,"War das erste Mal mit Ueberzeugung im Waschsalon, die ich vorher immer gemieden habe, da ein anderer Laden in Bremerhaven nie wirklich einladend wirkte.",dem Waschsalon,Waschsalon,Waschsalon,NOUN,in,in,dative_prep_in,obl,War,VERB,train
train-s18,"War das erste Mal mit Ueberzeugung im Waschsalon, die ich vorher immer gemieden habe, da ein anderer Laden in Bremerhaven nie wirklich einladend wirkte.",Bremerhaven,Bremerhaven,Bremerhaven,PROPN,in,in,dative_prep_in,nmod,Laden,NOUN,train
train-s22,Beiden Zahnärzten verdanke ich einen neuen Biss und dadurch endlich keine Rückenschmerzen mehr.,Beiden Zahnärzten,Zahnärzten,Zahnarzt,NOUN,,,core_dative_argument,obl:arg,verdanke,VERB,train
train-s24,Gutbürgerliche Küche von einem Koch der sein Handwerk noch versteht,einem Koch,Koch,Koch,NOUN,von,von,dative_prep_von,nmod,Küche,NOUN,train
train-s25,Der Firma liegt genau am Ortseingang.,dem Ortseingang,Ortseingang,Ortseingang,NOUN,an,an,dative_prep_an,obl,liegt,VERB,train
train-s28,Hier gibt es die beste Wurst in ganz Thüringen!!,ganz Thüringen,Thüringen,Thüringen,PROPN,in,in,dative_prep_in,nmod,Wurst,NOUN,train
train-s29,Wir sind seit vielen Jahren Mandanten der Rechtsanwälte Ruland und wurden immer optimal in bei unseren Probleme und Anliegen unterstützt.,vielen Jahren,Jahren,Jahr,NOUN,seit,seit,dative_prep_seit,nmod,Mandanten,NOUN,train
train-s29,Wir sind seit vielen Jahren Mandanten der Rechtsanwälte Ruland und wurden immer optimal in bei unseren Probleme und Anliegen unterstützt.,Mandanten,Mandanten,Mandant,NOUN,,,other_dative,root,ROOT,ROOT,train
train-s29,Wir sind seit vielen Jahren Mandanten der Rechtsanwälte Ruland und wurden immer optimal in bei unseren Probleme und Anliegen unterstützt.,Probleme,Probleme,Problem,NOUN,bei,bei,dative_prep_bei,obl,unterstützt,VERB,train
train-s29,Wir sind seit vielen Jahren Mandanten der Rechtsanwälte Ruland und wurden immer optimal in bei unseren Probleme und Anliegen unterstützt.,Anliegen,Anliegen,Anliegen,NOUN,,,other_dative,conj,Probleme,NOUN,train
train-s34,"! War ein wenig verschreckt durch die eine schlechte Bewertung hier auf dieser Seite, traute mich allerdings trotzdem dahin, mitsamt Freundin zum normalen Haareschneiden.",dieser Seite,Seite,Seite,NOUN,auf,auf,dative_prep_auf,nmod,Bewertung,NOUN,train
train-s34,"! War ein wenig verschreckt durch die eine schlechte Bewertung hier auf dieser Seite, traute mich allerdings trotzdem dahin, mitsamt Freundin zum normalen Haareschneiden.",Freundin,Freundin,Freundin,NOUN,mitsamt,,other_prepositional_dative,obl,traute,VERB,train
train-s34,"! War ein wenig verschreckt durch die eine schlechte Bewertung hier auf dieser Seite, traute mich allerdings trotzdem dahin, mitsamt Freundin zum normalen Haareschneiden.",dem normalen Haareschneiden,Haareschneiden,Haareschneiden,NOUN,zu,zu,dative_prep_zu,obl,traute,VERB,train
train-s35,Der Friseursalon ist mit dem Bus sehr gut zu erreichen.,dem Bus,Bus,Bus,NOUN,mit,mit,dative_prep_mit,obl,erreichen,VERB,train
train-s36,Terminfestlegung am Vortag war kein Problem; keine Wartezeiten.,dem Vortag,Vortag,Vortag,NOUN,an,an,dative_prep_an,nmod,Terminfestlegung,NOUN,train
train-s37,Die Mitarbeiter waren sehr freundlich und es herrschte eine nette Stimmung im ganzen Salon.,dem ganzen Salon,Salon,Salon,NOUN,in,in,dative_prep_in,obl,herrschte,VERB,train
train-s38,Das Haareschneiden war auch schnell erledigt -- im Anschluss gab es sogar einen Kaffee --,dem Anschluss,Anschluss,Anschluß,NOUN,in,in,dative_prep_in,obl,gab,VERB,train
train-s39,"Die Arbeiten von Team VK sind nicht nur schön, sondern sind auch effektiv und führen zum Erfolg.",Team VK,Team,Team,PROPN,von,von,dative_prep_von,nmod,Arbeiten,NOUN,train
train-s39,"Die Arbeiten von Team VK sind nicht nur schön, sondern sind auch effektiv und führen zum Erfolg.",VK,VK,VK,PROPN,,,other_dative,flat,Team,PROPN,train
train-s39,"Die Arbeiten von Team VK sind nicht nur schön, sondern sind auch effektiv und führen zum Erfolg.",dem Erfolg,Erfolg,Erfolg,NOUN,zu,zu,dative_prep_zu,obl,führen,VERB,train
train-s41,"So profitiert nicht nur die Agentur, sondern in erster Linie der Kunde.",erster Linie,Linie,Linie,NOUN,in,in,dative_prep_in,conj,Agentur,NOUN,train
train-s43,"War jetzt in fast allen Tabledance Clubs in München wobei ich sagen muss, dass der neu eröffnete Laden Blackboxxx für Männer der mit Abstand beste Laden ist.",allen Tabledance Clubs,Tabledance,Tabledance,PROPN,in,in,dative_prep_in,obl,War,VERB,train
train-s43,"War jetzt in fast allen Tabledance Clubs in München wobei ich sagen muss, dass der neu eröffnete Laden Blackboxxx für Männer der mit Abstand beste Laden ist.",München,München,München,PROPN,in,in,dative_prep_in,nmod,Tabledance,PROPN,train
train-s43,"War jetzt in fast allen Tabledance Clubs in München wobei ich sagen muss, dass der neu eröffnete Laden Blackboxxx für Männer der mit Abstand beste Laden ist.",Abstand,Abstand,Abstand,NOUN,mit,mit,dative_prep_mit,nmod,beste,ADJ,train
train-s44,"Die Preise sind ok und die Frauen mindestens genau so hübsch wie im boobs, wo die Preise leider sehr unverschämt sind...",dem boobs,boobs,boobs,PROPN,in,in,dative_prep_in,advcl,hübsch,ADJ,train
train-s45,Die Stuttgarter Volksbank Homepage ist übersichtlich und vom Design erste Klasse.,dem Design,Design,Design,NOUN,von,von,dative_prep_von,nmod,Klasse,NOUN,train
train-s47,"Sollte man was üer die Navigation nicht finden, so läßt sich ein bestimmtes Bankprodukt oder Information schnell über die Suchfunktion finden.",sich,sich,sich,PRON,,,core_dative_argument,obj,läßt,VERB,train
train-s49,"Ich war schon in vielen Cafés in aller Herren Länder, aber mit diesen herrlichen Torten und Kuchen muss sich das Café am Rosengarten vor keinem davon verstecken.",vielen Cafés,Cafés,Café,NOUN,in,in,dative_prep_in,obl,war,VERB,train
train-s49,"Ich war schon in vielen Cafés in aller Herren Länder, aber mit diesen herrlichen Torten und Kuchen muss sich das Café am Rosengarten vor keinem davon verstecken.",aller Herren,Herren,Herr,NOUN,,,nominal_dative_modifier,nmod,Länder,NOUN,train
train-s49,"Ich war schon in vielen Cafés in aller Herren Länder, aber mit diesen herrlichen Torten und Kuchen muss sich das Café am Rosengarten vor keinem davon verstecken.",diesen herrlichen Torten,Torten,Torte,NOUN,mit,mit,dative_prep_mit,obl,verstecken,VERB,train
train-s49,"Ich war schon in vielen Cafés in aller Herren Länder, aber mit diesen herrlichen Torten und Kuchen muss sich das Café am Rosengarten vor keinem davon verstecken.",Kuchen,Kuchen,Kuchen,NOUN,,,other_dative,conj,Torten,NOUN,train
train-s49,"Ich war schon in vielen Cafés in aller Herren Länder, aber mit diesen herrlichen Torten und Kuchen muss sich das Café am Rosengarten vor keinem davon verstecken.",dem Rosengarten,Rosengarten,Rosengarten,PROPN,an,an,dative_prep_an,nmod,Café,NOUN,train
train-s50,"Von aussen unscheinbar, schlicht und nicht in der besten Lage, aber die Kuchen und Torten sind dafür umso scheinbarer und leckerer.",der besten Lage,Lage,Lage,NOUN,in,in,dative_prep_in,conj,unscheinbar,ADJ,train
train-s55,Dabei sitzt man drinnen wie draußen in angenehm freundlicher und ruhiger Umgebung.,freundlicher Umgebung,Umgebung,Umgebung,NOUN,in,in,dative_prep_in,obl,sitzt,VERB,train
train-s57,"Neubau für viele Schulklassen vorhanden, also alles in Einwandfreiem Zustand.",Einwandfreiem Zustand,Zustand,Zustand,NOUN,in,in,dative_prep_in,conj,vorhanden,ADJ,train
train-s58,Ein hervorragender Schulgarten in dem die Schüler einiges über die Natur lernen können.,dem,dem,der,PRON,in,in,dative_prep_in,obl,lernen,VERB,train
train-s62,Im April 09 hat mir meine Frau zum Geburtstag ein Seminar im Hotel Sonnenstrahl geschenkt.,dem April,April,April,PROPN,in,in,dative_prep_in,obl,geschenkt,VERB,train
train-s62,Im April 09 hat mir meine Frau zum Geburtstag ein Seminar im Hotel Sonnenstrahl geschenkt.,mir,mir,ich,PRON,,,core_dative_argument,obl:arg,geschenkt,VERB,train
train-s62,Im April 09 hat mir meine Frau zum Geburtstag ein Seminar im Hotel Sonnenstrahl geschenkt.,dem Geburtstag,Geburtstag,Geburtstag,NOUN,zu,zu,dative_prep_zu,obl,geschenkt,VERB,train
train-s62,Im April 09 hat mir meine Frau zum Geburtstag ein Seminar im Hotel Sonnenstrahl geschenkt.,dem Hotel Sonnenstrahl,Hotel,Hotel,PROPN,in,in,dative_prep_in,nmod,Seminar,NOUN,train
train-s62,Im April 09 hat mir meine Frau zum Geburtstag ein Seminar im Hotel Sonnenstrahl geschenkt.,Sonnenstrahl,Sonnenstrahl,Sonnenstrahl,PROPN,,,other_dative,flat,Hotel,PROPN,train
train-s63,Die Unterbringung im Doppelzimmer hat sie mir gleich mit dazugeschenkt -- als Überraschung.,dem Doppelzimmer,Doppelzimmer,Doppelzimmer,NOUN,in,in,dative_prep_in,nmod,Unterbringung,NOUN,train
train-s63,Die Unterbringung im Doppelzimmer hat sie mir gleich mit dazugeschenkt -- als Überraschung.,mir,mir,ich,PRON,,,core_dative_argument,obl:arg,dazugeschenkt,VERB,train
train-s67,Wie sich so eine Unterkunft als 3 Sterne Unterkunft bezeichnen darf ist mir ein Rätsel.,3 Sterne Unterkunft,Unterkunft,Unterkunft,NOUN,als,,comparative_case_dative,obl,bezeichnen,VERB,train
train-s67,Wie sich so eine Unterkunft als 3 Sterne Unterkunft bezeichnen darf ist mir ein Rätsel.,mir,mir,ich,PRON,,,nominal_dative_modifier,nmod,Rätsel,NOUN,train
train-s68,Wir haben uns übrigens 3 verschiedene Zimmer angesehen und alle waren eine Katastrophe.,uns,uns,wir,PRON,,,core_dative_argument,obl:arg,angesehen,VERB,train
train-s69,Wir haben uns mehrfach beim Personal beschwert -- das Bett wurde zwar mit einer weiteren Matraze ausgestattet aber das hat nix gebracht.,dem Personal,Personal,Personal,NOUN,bei,bei,dative_prep_bei,obl,beschwert,VERB,train
train-s69,Wir haben uns mehrfach beim Personal beschwert -- das Bett wurde zwar mit einer weiteren Matraze ausgestattet aber das hat nix gebracht.,einer weiteren Matraze,Matraze,Matraze,NOUN,mit,mit,dative_prep_mit,obl,ausgestattet,VERB,train
train-s70,Bei der Abreise kam dann noch die böse Überraschung in Form von extrem überhöhten Übernachtungspreisen.,der Abreise,Abreise,Abreise,NOUN,bei,bei,dative_prep_bei,obl,kam,VERB,train
train-s70,Bei der Abreise kam dann noch die böse Überraschung in Form von extrem überhöhten Übernachtungspreisen.,Form,Form,Form,NOUN,in,in,dative_prep_in,obl,kam,VERB,train
train-s70,Bei der Abreise kam dann noch die böse Überraschung in Form von extrem überhöhten Übernachtungspreisen.,überhöhten Übernachtungspreisen,Übernachtungspreisen,Übernachtungspreis,NOUN,von,von,dative_prep_von,nmod,Form,NOUN,train
train-s71,Nach langem Suchen endlich den richtigen gefunden!!!,langem Suchen,Suchen,Suchen,NOUN,nach,nach,dative_prep_nach,obl,gefunden,VERB,train
train-s72,"Ich bin seit fast 5 Jahren auf der Suche nach jemanden gewesen, der mich nicht übers Ohr hauen wollte.",5 Jahren,Jahren,Jahr,NOUN,seit,seit,dative_prep_seit,obl,bin,VERB,train
train-s72,"Ich bin seit fast 5 Jahren auf der Suche nach jemanden gewesen, der mich nicht übers Ohr hauen wollte.",der Suche,Suche,Suche,NOUN,auf,auf,dative_prep_auf,obl,bin,VERB,train
train-s73,"Und dann bin ich auf Empfehlung einer sehr guten Freundin nach Dortmund gefahren um mich dort von Herrn Knauff behandeln zu lassen und kann nur sagen, dass das die beste Entscheidung gewesen ist.",Dortmund,Dortmund,Dortmund,PROPN,nach,nach,dative_prep_nach,obl,gefahren,VERB,train
train-s73,"Und dann bin ich auf Empfehlung einer sehr guten Freundin nach Dortmund gefahren um mich dort von Herrn Knauff behandeln zu lassen und kann nur sagen, dass das die beste Entscheidung gewesen ist.",Herrn,Herrn,Herr,NOUN,,,other_dative,compound,Knauff,PROPN,train
train-s73,"Und dann bin ich auf Empfehlung einer sehr guten Freundin nach Dortmund gefahren um mich dort von Herrn Knauff behandeln zu lassen und kann nur sagen, dass das die beste Entscheidung gewesen ist.",Herrn Knauff,Knauff,Knauff,PROPN,von,von,dative_prep_von,obl,behandeln,VERB,train
train-s75,Ich bin seit 3 Sitzungen in Behandlung und ich fühle mich super gut aufgehoben.,3 Sitzungen,Sitzungen,Sitzung,NOUN,seit,seit,dative_prep_seit,obl,bin,VERB,train
train-s75,Ich bin seit 3 Sitzungen in Behandlung und ich fühle mich super gut aufgehoben.,Behandlung,Behandlung,Behandlung,NOUN,in,in,dative_prep_in,obl,bin,VERB,train
train-s80,Besonders die professionelle Beratung und die individuell angepassten Behandlungen enstrechen dem was ich unter bester Dienstleistngsqualität verstehe.,dem,dem,der,PRON,,,core_dative_argument,obl:arg,enstrechen,VERB,train
train-s80,Besonders die professionelle Beratung und die individuell angepassten Behandlungen enstrechen dem was ich unter bester Dienstleistngsqualität verstehe.,bester Dienstleistngsqualität,Dienstleistngsqualität,Dienstleistngsqualität,NOUN,unter,unter,dative_prep_unter,obl,verstehe,VERB,train
train-s85,Sehr beruhigend ein solches Geschäft in der Nähe zu haben...,der Nähe,Nähe,Nähe,NOUN,in,in,dative_prep_in,obl,haben,VERB,train
train-s88,"Leider habe ich die anderen beiden Bewertungen zu spät gesehen und gebucht, da ich dringend ein Hotel in der Gegend brauchte und der Preis ok war.",der Gegend,Gegend,Gegend,NOUN,in,in,dative_prep_in,nmod,Hotel,NOUN,train
train-s92,Pizza hat die Qualität eines besseren Tiefkühlproduktes aus dem Supermarkt.,dem Supermarkt,Supermarkt,Supermarkt,NOUN,aus,aus,dative_prep_aus,nmod,Tiefkühlproduktes,NOUN,train
train-s93,Der Salat ist mit einem mayonnaiselastigem Dressing verunstaltet.,einem mayonnaiselastigem Dressing,Dressing,Dressing,NOUN,mit,mit,dative_prep_mit,nmod,verunstaltet,ADJ,train
train-s94,Die Pizzen schmecken nicht wirklich gut das meiste scheint aus der Dose zu kommen.,der Dose,Dose,Dose,NOUN,aus,aus,dative_prep_aus,obl,kommen,VERB,train
train-s95,"Im italienischen Restaurant Pinnocchio kann man nicht nur wunderbar Pizza essen, auch alle anderen Gerichte schmecken hervorragend.",dem italienischen Restaurant,Restaurant,Restaurant,NOUN,in,in,dative_prep_in,obl,essen,VERB,train
train-s95,"Im italienischen Restaurant Pinnocchio kann man nicht nur wunderbar Pizza essen, auch alle anderen Gerichte schmecken hervorragend.",Pinnocchio,Pinnocchio,Pinnocchio,PROPN,,,other_dative,appos,Restaurant,NOUN,train
train-s99,Patient trägt seit 3 Monaten Kontaktlinsen.,3 Monaten,Monaten,Monat,NOUN,seit,seit,dative_prep_seit,obl,trägt,VERB,train
train-s99,Patient trägt seit 3 Monaten Kontaktlinsen.,Kontaktlinsen,Kontaktlinsen,Kontaktlinse,NOUN,,,core_dative_argument,obj,trägt,VERB,train
train-s100,Wünscht Untersuchung im Hinblick auf Gegenanzeigen und Hinderungsgründe für das Tragen von Kontaktlinsen.,dem Hinblick,Hinblick,Hinblick,NOUN,in,in,dative_prep_in,obl,Wünscht,VERB,train
train-s100,Wünscht Untersuchung im Hinblick auf Gegenanzeigen und Hinderungsgründe für das Tragen von Kontaktlinsen.,Kontaktlinsen,Kontaktlinsen,Kontaktlinse,NOUN,von,von,dative_prep_von,nmod,Tragen,NOUN,train
train-s103,"Sofort wurde klar, dass mehr Patienten warteten, als Stühle im Wartezimmer vorhanden waren.",dem Wartezimmer,Wartezimmer,Wartezimmer,NOUN,in,in,dative_prep_in,nmod,vorhanden,ADJ,train
train-s104,"Daher haben hier immer die jüngeren Patienten den älteren Patienten Platz gemacht, damit diese bei den Temperaturen keinen Kreislaufkollaps bekamen.",den älteren Patienten,Patienten,Patient,NOUN,,,core_dative_argument,obl:arg,gemacht,VERB,train
train-s104,"Daher haben hier immer die jüngeren Patienten den älteren Patienten Platz gemacht, damit diese bei den Temperaturen keinen Kreislaufkollaps bekamen.",den Temperaturen,Temperaturen,Temperatur,NOUN,bei,bei,dative_prep_bei,obl,bekamen,VERB,train
train-s106,Nach weiteren 30 Minuten Wartezeit durfte ich nun endlich zu Frau Dr. Schüler und meine Frage äußern.,weiteren 30 Minuten,Minuten,Minute,NOUN,nach,nach,dative_prep_nach,obl,durfte,VERB,train
train-s106,Nach weiteren 30 Minuten Wartezeit durfte ich nun endlich zu Frau Dr. Schüler und meine Frage äußern.,Wartezeit,Wartezeit,Wartezeit,NOUN,,,other_dative,appos,Minuten,NOUN,train
train-s106,Nach weiteren 30 Minuten Wartezeit durfte ich nun endlich zu Frau Dr. Schüler und meine Frage äußern.,Frau,Frau,Frau,NOUN,,,other_dative,compound,Schüler,PROPN,train
train-s107,"Nun kam der Hammer: Nachdem ich das Wort Kontaktlinsen erwähnt hatte, fiel bei Frau Dr. eine Klappe und sie ließ mich bis zum Ende unseres Termins keine einzigen Satz mehr aussprechen.",Frau,Frau,Frau,NOUN,,,other_dative,compound,Dr.,NOUN,train
train-s107,"Nun kam der Hammer: Nachdem ich das Wort Kontaktlinsen erwähnt hatte, fiel bei Frau Dr. eine Klappe und sie ließ mich bis zum Ende unseres Termins keine einzigen Satz mehr aussprechen.",Frau Dr.,Dr.,Dr.,NOUN,bei,bei,dative_prep_bei,obl,fiel,VERB,train
train-s107,"Nun kam der Hammer: Nachdem ich das Wort Kontaktlinsen erwähnt hatte, fiel bei Frau Dr. eine Klappe und sie ließ mich bis zum Ende unseres Termins keine einzigen Satz mehr aussprechen.",dem Ende,Ende,Ende,NOUN,zu,zu,dative_prep_zu,obl,ließ,VERB,train
train-s107,"Nun kam der Hammer: Nachdem ich das Wort Kontaktlinsen erwähnt hatte, fiel bei Frau Dr. eine Klappe und sie ließ mich bis zum Ende unseres Termins keine einzigen Satz mehr aussprechen.",keine einzigen Satz,Satz,Satz,NOUN,,,core_dative_argument,obj,aussprechen,VERB,train
train-s111,"Leider kam ich überhaupt nicht zu Wort, sondern Frau Dr. dozierte mit einer mir bis dahin unbekannten Arroganz weiter.",Wort,Wort,Wort,NOUN,zu,zu,dative_prep_zu,obl,kam,VERB,train
train-s111,"Leider kam ich überhaupt nicht zu Wort, sondern Frau Dr. dozierte mit einer mir bis dahin unbekannten Arroganz weiter.",mir,mir,ich,PRON,,,core_dative_argument,obl:arg,unbekannten,ADJ,train
train-s111,"Leider kam ich überhaupt nicht zu Wort, sondern Frau Dr. dozierte mit einer mir bis dahin unbekannten Arroganz weiter.",einer unbekannten Arroganz,Arroganz,Arroganz,NOUN,mit,mit,dative_prep_mit,obl,dozierte,VERB,train
train-s114,Ich kann nur von einem Besuch dieser Praxis abraten!,einem Besuch,Besuch,Besuch,NOUN,von,von,dative_prep_von,obl,abraten,VERB,train
train-s115,"Menschen mit Kreislaufproblemen sollten sich, wie oben erwähnt auf eine längere Wartezeit im Stehen vorbereiten.",Kreislaufproblemen,Kreislaufproblemen,Kreislaufproblem,NOUN,mit,mit,dative_prep_mit,nmod,Menschen,NOUN,train
train-s115,"Menschen mit Kreislaufproblemen sollten sich, wie oben erwähnt auf eine längere Wartezeit im Stehen vorbereiten.",dem Stehen,Stehen,Stehen,NOUN,in,in,dative_prep_in,nmod,Wartezeit,NOUN,train
train-s117,Die Lage hat uns ebenfalls sehr gefallen.,uns,uns,wir,PRON,,,core_dative_argument,obl:arg,gefallen,VERB,train
train-s118,Der Fußweg zum Strand ist kurz (ca. 400 m).,dem Strand,Strand,Strand,NOUN,zu,zu,dative_prep_zu,nmod,Fußweg,NOUN,train
train-s119,Auch der Ort Koserow war uns sehr sympathisch.,uns,uns,wir,PRON,,,core_dative_argument,obl:arg,sympathisch,ADJ,train
train-s120,Wir waren im September mit einer 3 Generationenfamilie in der Wohnung Storchennest.,dem September,September,September,PROPN,in,in,dative_prep_in,obl,waren,VERB,train
train-s120,Wir waren im September mit einer 3 Generationenfamilie in der Wohnung Storchennest.,einer 3 Generationenfamilie,Generationenfamilie,Generationenfamilie,NOUN,mit,mit,dative_prep_mit,obl,waren,VERB,train
train-s120,Wir waren im September mit einer 3 Generationenfamilie in der Wohnung Storchennest.,der Wohnung,Wohnung,Wohnung,NOUN,in,in,dative_prep_in,obl,waren,VERB,train
train-s120,Wir waren im September mit einer 3 Generationenfamilie in der Wohnung Storchennest.,Storchennest,Storchennest,Storchennest,PROPN,,,other_dative,appos,Wohnung,NOUN,train
train-s121,"Die Wohnung ist gerade frisch renoviert und bietet alles, was zum Wohlfühlen wichtig ist.",dem Wohlfühlen,Wohlfühlen,Wohlfühlen,NOUN,zu,zu,dative_prep_zu,nmod,wichtig,ADJ,train
train-s122,mit 2 Großeltern und 4 Kindern hatten wir zu 8 Personen genügend Platz.,2 Großeltern,Großeltern,Großeltern,NOUN,mit,mit,dative_prep_mit,obl,hatten,VERB,train
train-s122,mit 2 Großeltern und 4 Kindern hatten wir zu 8 Personen genügend Platz.,4 Kindern,Kindern,Kind,NOUN,,,other_dative,conj,Großeltern,NOUN,train
train-s122,mit 2 Großeltern und 4 Kindern hatten wir zu 8 Personen genügend Platz.,8 Personen,Personen,Person,NOUN,zu,zu,dative_prep_zu,obl,hatten,VERB,train
train-s124,"Das Schwimmbad war an den beiden Regentagen ein Segen, abends haben mein MAnn und ich gerne auch die Sauna in der Wohnung benutzt.",den beiden Regentagen,Regentagen,Regentag,NOUN,an,an,dative_prep_an,nmod,Segen,NOUN,train
train-s124,"Das Schwimmbad war an den beiden Regentagen ein Segen, abends haben mein MAnn und ich gerne auch die Sauna in der Wohnung benutzt.",der Wohnung,Wohnung,Wohnung,NOUN,in,in,dative_prep_in,nmod,Sauna,NOUN,train
